seg_id	seg_chrom	seg_start	seg_end	seg_name	seg_strand	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_readcount
chrX:151330321-151330421	chrX	151330321	151330421	L1HS_dup1099	.	3	82	10	0.03529411764705882	19	73	12	10	0.8588235294117647	19	11	54	8	0.16923076923076924	15	48	17	8	0.7384615384615385	15	3	172	13	0.017142857142857144	39	157	17	14	0.9022988505747126	39
chrY:4954838-4954938	chrY	4954838	4954938	L1HS_dup1107	.	0	0	0	NaN	0	0	0	0	NaN	0	1	26	1	0.037037037037037035	7	26	1	1	0.9629629629629629	7	0	0	0	NaN	0	0	0	0	NaN	0
chr1:209919723-209919823	chr1	209919723	209919823	L1HS_dup111	.	3	70	13	0.0410958904109589	22	64	9	13	0.8767123287671232	22	8	107	15	0.06956521739130435	27	101	14	15	0.8782608695652174	27	6	160	18	0.03614457831325301	48	151	11	22	0.9320987654320988	48
chr10:105383277-105383377	chr10	105383277	105383377	L1HS_dup1142	.	13	125	23	0.09420289855072464	29	113	24	24	0.8248175182481752	29	10	108	11	0.0847457627118644	22	103	15	11	0.8728813559322034	22	7	278	27	0.02456140350877193	55	269	11	32	0.9607142857142857	55
chr10:5245355-5245455	chr10	5245355	5245455	L1HS_dup1144	.	7	138	8	0.04827586206896552	22	134	11	8	0.9241379310344827	22	7	127	13	0.05223880597014925	22	116	17	14	0.8721804511278195	22	6	345	27	0.017094017094017096	58	342	8	28	0.9771428571428571	58
chr10:33516776-33516876	chr10	33516776	33516876	L1HS_dup1155	.	2	67	7	0.028985507246376812	14	66	3	7	0.9565217391304348	14	5	133	5	0.036231884057971016	25	126	12	5	0.9130434782608695	25	2	252	28	0.007874015748031496	49	250	3	29	0.9881422924901185	49
chr10:39508153-39508253	chr10	39508153	39508253	L1HS_dup1161	.	2	61	15	0.031746031746031744	14	50	13	15	0.7936507936507936	14	1	127	8	0.0078125	24	121	7	8	0.9453125	24	2	225	17	0.00881057268722467	44	195	32	17	0.8590308370044053	44
chr10:85355507-85355607	chr10	85355507	85355607	L1HS_dup1180	.	10	90	6	0.1	18	82	17	7	0.8282828282828283	18	7	97	9	0.0673076923076923	19	95	9	9	0.9134615384615384	19	12	327	14	0.035398230088495575	61	310	26	17	0.9226190476190477	61
chr10:98788871-98788971	chr10	98788871	98788971	L1HS_dup1182	.	2	78	10	0.025	16	73	6	11	0.9240506329113924	16	14	71	6	0.16470588235294117	16	69	16	6	0.8117647058823529	16	4	233	15	0.016877637130801686	44	223	12	17	0.948936170212766	44
chr10:105781451-105781551	chr10	105781451	105781551	L1HS_dup1186	.	3	35	4	0.07894736842105263	7	34	4	4	0.8947368421052632	7	6	117	10	0.04878048780487805	23	112	12	9	0.9032258064516129	23	4	265	15	0.01486988847583643	48	252	12	20	0.9545454545454546	48
chr10:108316039-108316139	chr10	108316039	108316139	L1HS_dup1188	.	6	104	4	0.05454545454545454	24	37	71	6	0.3425925925925926	24	4	68	4	0.05555555555555555	17	36	35	5	0.5070422535211268	17	4	146	8	0.02666666666666667	34	96	54	8	0.64	34
chr10:109818357-109818457	chr10	109818357	109818457	L1HS_dup1192	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr11:85324759-85324859	chr11	85324759	85324859	L1HS_dup1197	.	3	82	6	0.03529411764705882	16	69	16	6	0.8117647058823529	16	1	102	8	0.009708737864077669	19	98	5	8	0.9514563106796117	19	4	220	10	0.017857142857142856	40	208	16	10	0.9285714285714286	40
chr11:109183426-109183526	chr11	109183426	109183526	L1HS_dup1198	.	4	81	3	0.047058823529411764	23	61	25	2	0.7093023255813954	23	4	63	5	0.05970149253731343	18	59	9	4	0.8676470588235294	18	8	142	8	0.05333333333333334	41	138	10	10	0.9324324324324325	41
chr11:24327952-24328052	chr11	24327952	24328052	L1HS_dup1209	.	0	64	5	0.0	11	59	4	6	0.9365079365079365	11	4	130	11	0.029850746268656716	21	126	8	11	0.9402985074626866	21	1	172	4	0.005780346820809248	27	171	1	5	0.9941860465116279	27
chr11:31321580-31321680	chr11	31321580	31321680	L1HS_dup1216	.	15	173	11	0.0797872340425532	29	159	28	12	0.8502673796791443	29	9	133	8	0.06338028169014084	22	116	26	8	0.8169014084507042	22	4	285	15	0.01384083044982699	46	285	4	15	0.986159169550173	46
chr11:36557536-36557636	chr11	36557536	36557636	L1HS_dup1217	.	4	77	11	0.04938271604938271	16	72	9	11	0.8888888888888888	16	2	98	7	0.02	18	81	18	8	0.8181818181818182	18	9	419	23	0.02102803738317757	77	378	44	29	0.8957345971563981	77
chr1:237025394-237025494	chr1	237025394	237025494	L1HS_dup123	.	1	112	6	0.008849557522123894	17	105	8	6	0.9292035398230089	17	5	118	9	0.04065040650406504	19	117	6	9	0.9512195121951219	19	3	278	13	0.010676156583629894	43	272	11	11	0.9611307420494699	43
chr11:78683702-78683802	chr11	78683702	78683802	L1HS_dup1237	.	9	61	5	0.12857142857142856	19	36	33	6	0.5217391304347826	19	8	117	8	0.064	27	50	75	8	0.4	27	10	243	23	0.039525691699604744	57	188	58	30	0.7642276422764228	57
chr11:87345961-87346061	chr11	87345961	87346061	L1HS_dup1243	.	2	87	10	0.02247191011235955	16	80	9	10	0.898876404494382	16	10	129	11	0.07194244604316546	22	126	14	10	0.9	22	8	334	24	0.023391812865497075	56	331	9	26	0.9735294117647059	56
chr11:90405998-90406098	chr11	90405998	90406098	L1HS_dup1244	.	13	124	11	0.0948905109489051	25	119	17	12	0.875	25	5	111	8	0.04310344827586207	21	108	7	9	0.9391304347826087	21	4	269	16	0.014652014652014652	50	253	17	19	0.937037037037037	50
chr11:90972202-90972302	chr11	90972202	90972302	L1HS_dup1245	.	1	81	3	0.012195121951219513	17	78	4	3	0.9512195121951219	17	3	87	8	0.03333333333333333	20	87	3	8	0.9666666666666667	20	1	201	12	0.0049504950495049506	44	199	3	12	0.9851485148514851	44
chr11:93420987-93421087	chr11	93420987	93421087	L1HS_dup1247	.	7	111	0	0.059322033898305086	17	13	104	1	0.1111111111111111	17	0	0	0	NaN	0	0	0	0	NaN	0	7	173	15	0.03888888888888889	32	69	110	16	0.3854748603351955	32
chr11:95436217-95436317	chr11	95436217	95436317	L1HS_dup1249	.	6	126	11	0.045454545454545456	21	94	34	15	0.734375	21	9	91	8	0.09	19	81	20	7	0.801980198019802	19	8	289	18	0.026936026936026935	47	278	19	18	0.936026936026936	47
chr11:125536610-125536710	chr11	125536610	125536710	L1HS_dup1261	.	4	192	19	0.02040816326530612	32	175	21	19	0.8928571428571429	32	4	97	11	0.039603960396039604	19	90	10	12	0.9	19	7	337	21	0.020348837209302327	54	332	10	23	0.9707602339181286	54
chr1:239629423-239629523	chr1	239629423	239629523	L1HS_dup127	.	14	107	9	0.11570247933884298	19	93	27	10	0.775	19	5	99	13	0.04807692307692308	17	98	6	13	0.9423076923076923	17	8	256	21	0.030303030303030304	43	247	14	24	0.946360153256705	43
chr12:38799647-38799747	chr12	38799647	38799747	L1HS_dup1274	.	3	117	3	0.025	19	116	3	4	0.9747899159663865	19	9	127	6	0.0661764705882353	21	124	12	6	0.9117647058823529	21	2	274	18	0.007246376811594203	44	273	2	19	0.9927272727272727	44
chr12:51568557-51568657	chr12	51568557	51568657	L1HS_dup1284	.	12	124	18	0.08823529411764706	24	87	49	18	0.6397058823529411	24	13	96	8	0.11926605504587157	17	89	19	9	0.8240740740740741	17	25	305	31	0.07575757575757576	56	283	45	33	0.8628048780487805	56
chr12:54788574-54788674	chr12	54788574	54788674	L1HS_dup1285	.	12	93	4	0.11428571428571428	16	87	18	4	0.8285714285714286	16	5	110	7	0.043478260869565216	18	90	26	6	0.7758620689655172	18	10	392	21	0.024875621890547265	64	378	23	22	0.942643391521197	64
chr12:55102183-55102283	chr12	55102183	55102283	L1HS_dup1286	.	3	116	7	0.025210084033613446	22	114	4	8	0.9661016949152542	22	8	97	8	0.0761904761904762	19	92	13	8	0.8761904761904762	19	9	333	23	0.02631578947368421	63	326	12	27	0.9644970414201184	63
chr12:73289568-73289668	chr12	73289568	73289668	L1HS_dup1297	.	4	58	4	0.06451612903225806	17	55	6	5	0.9016393442622951	17	7	41	0	0.14583333333333334	12	40	8	0	0.8333333333333334	12	3	198	8	0.014925373134328358	53	197	4	8	0.9800995024875622	53
chr12:74874869-74874969	chr12	74874869	74874969	L1HS_dup1298	.	5	72	5	0.06493506493506493	17	69	7	6	0.9078947368421053	17	12	61	3	0.1643835616438356	16	58	16	2	0.7837837837837838	16	3	202	8	0.014634146341463415	44	193	8	12	0.9601990049751243	44
chr12:126304938-126305038	chr12	126304938	126305038	L1HS_dup1320	.	9	156	14	0.05454545454545454	24	149	16	14	0.9030303030303031	24	7	148	12	0.04516129032258064	22	136	19	12	0.8774193548387097	22	2	266	16	0.007462686567164179	36	247	19	18	0.9285714285714286	36
chr13:31302315-31302415	chr13	31302315	31302415	L1HS_dup1324	.	5	118	3	0.04065040650406504	19	110	13	3	0.8943089430894309	19	7	119	5	0.05555555555555555	19	109	17	5	0.8650793650793651	19	4	335	17	0.011799410029498525	52	325	13	18	0.9615384615384616	52
chr13:34486194-34486294	chr13	34486194	34486294	L1HS_dup1326	.	3	56	10	0.05084745762711865	12	46	15	8	0.7540983606557377	12	15	96	7	0.13513513513513514	20	91	20	7	0.8198198198198198	20	4	220	18	0.017857142857142856	42	205	17	20	0.9234234234234234	42
chr13:48465556-48465656	chr13	48465556	48465656	L1HS_dup1330	.	13	112	11	0.104	20	103	22	11	0.824	20	10	58	8	0.14705882352941177	11	48	20	8	0.7058823529411765	11	4	268	17	0.014705882352941176	44	262	8	19	0.9703703703703703	44
chr13:74426327-74426427	chr13	74426327	74426427	L1HS_dup1339	.	5	93	9	0.05102040816326531	18	86	12	9	0.8775510204081632	18	3	87	5	0.03333333333333333	16	85	5	5	0.9444444444444444	16	5	250	24	0.0196078431372549	48	244	7	28	0.9721115537848606	48
chr13:76618751-76618851	chr13	76618751	76618851	L1HS_dup1342	.	11	109	6	0.09166666666666666	22	106	14	6	0.8833333333333333	22	9	94	9	0.08737864077669903	19	92	11	9	0.8932038834951457	19	9	204	20	0.04225352112676056	41	198	13	22	0.9383886255924171	41
chr13:92691492-92691592	chr13	92691492	92691592	L1HS_dup1354	.	7	84	9	0.07692307692307693	19	74	18	8	0.8043478260869565	19	3	63	5	0.045454545454545456	15	60	6	5	0.9090909090909091	15	4	294	13	0.013422818791946308	59	282	14	15	0.9527027027027027	59
chr13:97673340-97673440	chr13	97673340	97673440	L1HS_dup1357	.	2	93	7	0.021052631578947368	19	90	4	8	0.9574468085106383	19	4	112	10	0.034482758620689655	21	104	10	12	0.9122807017543859	21	2	269	5	0.007380073800738007	52	268	2	6	0.9925925925925926	52
chr13:108516395-108516495	chr13	108516395	108516495	L1HS_dup1361	.	4	112	8	0.034482758620689655	18	105	12	7	0.8974358974358975	18	14	111	3	0.112	19	101	24	3	0.808	19	4	291	14	0.013559322033898305	46	279	16	14	0.9457627118644067	46
chr14:45483069-45483169	chr14	45483069	45483169	L1HS_dup1362	.	4	97	16	0.039603960396039604	24	94	6	17	0.94	24	2	99	5	0.019801980198019802	22	96	4	6	0.96	22	3	153	19	0.019230769230769232	37	146	9	20	0.9419354838709677	37
chr14:18289764-18289864	chr14	18289764	18289864	L1HS_dup1363	.	4	181	9	0.021621621621621623	37	162	23	9	0.8756756756756757	37	1	178	13	0.00558659217877095	36	164	15	13	0.9162011173184358	36	1	340	19	0.002932551319648094	65	305	32	23	0.9050445103857567	65
chr14:30690737-30690837	chr14	30690737	30690837	L1HS_dup1374	.	7	171	10	0.03932584269662921	28	44	135	9	0.24581005586592178	28	5	152	4	0.03184713375796178	24	9	149	3	0.056962025316455694	24	18	303	26	0.056074766355140186	52	187	137	23	0.5771604938271605	52
chr2:16599658-16599758	chr2	16599658	16599758	L1HS_dup138	.	1	85	14	0.011627906976744186	21	76	10	14	0.8837209302325582	21	10	74	5	0.11904761904761904	19	74	10	5	0.8809523809523809	19	9	220	22	0.039301310043668124	52	212	16	23	0.9298245614035088	52
chr14:48187083-48187183	chr14	48187083	48187183	L1HS_dup1386	.	3	110	11	0.02654867256637168	22	106	6	12	0.9464285714285714	22	0	74	4	0.0	13	74	1	3	0.9866666666666667	13	2	202	12	0.00980392156862745	39	198	3	15	0.9850746268656716	39
chr14:61061048-61061148	chr14	61061048	61061148	L1HS_dup1391	.	8	119	13	0.06299212598425197	24	99	25	16	0.7983870967741935	24	11	128	8	0.07913669064748201	25	109	29	9	0.7898550724637681	25	7	231	16	0.029411764705882353	44	229	9	16	0.9621848739495799	44
chr14:62535852-62535952	chr14	62535852	62535952	L1HS_dup1393	.	3	93	6	0.03125	16	91	5	6	0.9479166666666666	16	1	71	4	0.013888888888888888	11	71	2	3	0.9726027397260274	11	2	288	22	0.006896551724137931	47	275	10	27	0.9649122807017544	47
chr14:63122635-63122735	chr14	63122635	63122735	L1HS_dup1394	.	13	111	16	0.10483870967741936	24	108	17	15	0.864	24	14	138	12	0.09210526315789473	28	130	22	12	0.8552631578947368	28	2	195	10	0.01015228426395939	36	191	5	11	0.9744897959183674	36
chr14:70547291-70547391	chr14	70547291	70547391	L1HS_dup1398	.	3	88	9	0.03296703296703297	17	84	8	8	0.9130434782608695	17	4	119	8	0.032520325203252036	22	110	13	8	0.8943089430894309	22	1	238	8	0.0041841004184100415	42	233	6	8	0.9748953974895398	42
chr15:51423146-51423246	chr15	51423146	51423246	L1HS_dup1418	.	9	79	12	0.10227272727272728	17	72	15	13	0.8275862068965517	17	8	57	5	0.12307692307692308	13	56	8	6	0.875	13	3	271	18	0.010948905109489052	50	270	3	19	0.989010989010989	50
chr2:36118437-36118537	chr2	36118437	36118537	L1HS_dup143	.	6	80	7	0.06976744186046512	16	79	6	8	0.9294117647058824	16	6	77	6	0.07228915662650602	15	75	7	7	0.9146341463414634	15	2	272	13	0.0072992700729927005	51	265	8	14	0.9706959706959707	51
chr15:82888819-82888919	chr15	82888819	82888919	L1HS_dup1435	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr15:83456734-83456834	chr15	83456734	83456834	L1HS_dup1436	.	11	77	4	0.125	16	43	46	3	0.48314606741573035	16	14	82	3	0.14583333333333334	17	67	30	2	0.6907216494845361	17	9	262	25	0.033210332103321034	52	250	20	26	0.9259259259259259	52
chr15:87509892-87509992	chr15	87509892	87509992	L1HS_dup1437	.	4	51	4	0.07272727272727272	9	50	5	4	0.9090909090909091	9	5	114	9	0.04201680672268908	19	111	8	9	0.9327731092436975	19	3	296	24	0.010033444816053512	49	291	7	25	0.9765100671140939	49
chr16:9590422-9590522	chr16	9590422	9590522	L1HS_dup1442	.	10	104	9	0.08771929824561403	22	104	10	9	0.9122807017543859	22	4	102	5	0.03773584905660377	19	96	9	6	0.9142857142857143	19	4	241	18	0.0163265306122449	45	239	7	17	0.9715447154471545	45
chr16:33958512-33958612	chr16	33958512	33958612	L1HS_dup1449	.	3	142	10	0.020689655172413793	23	129	15	11	0.8958333333333334	23	0	6	0	0.0	1	5	0	1	1.0	1	3	316	15	0.009404388714733543	50	262	55	17	0.8264984227129337	50
chr16:54042097-54042197	chr16	54042097	54042197	L1HS_dup1462	.	3	78	6	0.037037037037037035	18	74	8	5	0.9024390243902439	18	5	63	5	0.07352941176470588	15	63	5	5	0.9264705882352942	15	7	252	28	0.02702702702702703	60	242	13	32	0.9490196078431372	60
chr16:68589405-68589505	chr16	68589405	68589505	L1HS_dup1470	.	12	97	9	0.11009174311926606	21	67	42	9	0.6146788990825688	21	8	77	10	0.09411764705882353	16	55	32	8	0.632183908045977	16	10	248	58	0.03875968992248062	56	212	43	61	0.8313725490196079	56
chr17:9615986-9616086	chr17	9615986	9616086	L1HS_dup1478	.	8	89	4	0.08247422680412371	17	71	25	5	0.7395833333333334	17	6	100	8	0.05660377358490566	20	90	16	8	0.8490566037735849	20	5	239	19	0.020491803278688523	46	231	11	21	0.9545454545454546	46
chr17:66602495-66602595	chr17	66602495	66602595	L1HS_dup1487	.	16	127	14	0.11188811188811189	28	111	34	12	0.7655172413793103	28	9	105	8	0.07894736842105263	21	95	17	10	0.8482142857142857	21	4	240	22	0.01639344262295082	46	223	18	25	0.9253112033195021	46
chr18:535702-535802	chr18	535702	535802	L1HS_dup1493	.	18	147	23	0.10909090909090909	32	134	30	24	0.8170731707317073	32	11	84	14	0.11578947368421053	19	76	19	14	0.8	19	17	279	39	0.057432432432432436	60	268	28	39	0.9054054054054054	60
chr18:37819738-37819838	chr18	37819738	37819838	L1HS_dup1514	.	4	98	7	0.0392156862745098	23	85	17	7	0.8333333333333334	23	4	62	6	0.06060606060606061	15	55	10	7	0.8461538461538461	15	5	212	25	0.02304147465437788	50	207	8	27	0.9627906976744186	50
