,sample,modbase,group
chr16:83637253-83638153:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.6043360433604336,L1HS
chr16:83637253-83638153:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.6169354838709677,L1HS
chr16:83637253-83638153:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.7309027777777778,L1HS
chr16:83637253-83638153:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.766721044045677,L1HS
chr16:83637253-83638153:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.7849378881987578,L1HS
chr17:70458957-70459857:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8527131782945736,L1HS
chr17:70458957-70459857:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.7463768115942029,L1HS
chr17:70458957-70459857:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8289473684210527,L1HS
chr17:70458957-70459857:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8032786885245902,L1HS
chr17:70458957-70459857:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.9338624338624338,L1HS
chr17_GL383565v1_alt:158733-159633:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.972972972972973,L1HS
chr17_GL383565v1_alt:158733-159633:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8751926040061633,L1HS
chr17_GL383565v1_alt:158733-159633:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8898305084745762,L1HS
chr17_GL383565v1_alt:158733-159633:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8888888888888888,L1HS
chr17_GL383565v1_alt:158733-159633:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.9555555555555556,L1HS
chr18:70751681-70752581:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8077803203661327,L1HS
chr18:70751681-70752581:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.6666666666666666,L1HS
chr18:70751681-70752581:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8533886583679114,L1HS
chr18:70751681-70752581:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8841698841698842,L1HS
chr18:70751681-70752581:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.9364278506559032,L1HS
chr2:177973074-177973974:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.6378986866791745,L1HS
chr2:177973074-177973974:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.5610119047619048,L1HS
chr2:177973074-177973974:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.6043771043771043,L1HS
chr2:177973074-177973974:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.7586009174311926,L1HS
chr2:177973074-177973974:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8001885014137606,L1HS
chr20:23426109-23427009:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.7765486725663717,L1HS
chr20:23426109-23427009:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.785031847133758,L1HS
chr20:23426109-23427009:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8027465667915106,L1HS
chr20:23426109-23427009:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.7559748427672957,L1HS
chr20:23426109-23427009:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.7865911237016053,L1HS
chr3:109199873-109200773:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.7079953650057937,L1HS
chr3:109199873-109200773:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8199404761904762,L1HS
chr3:109199873-109200773:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8419540229885057,L1HS
chr3:109199873-109200773:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8686659772492245,L1HS
chr3:109199873-109200773:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.9085487077534792,L1HS
chr4:15841547-15842447:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.6231884057971014,L1HS
chr4:15841547-15842447:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8175487465181058,L1HS
chr4:15841547-15842447:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.7883597883597884,L1HS
chr4:15841547-15842447:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8413344182262001,L1HS
chr4:15841547-15842447:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8919172932330827,L1HS
chr4:21159391-21160291:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.6844547563805105,L1HS
chr4:21159391-21160291:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.6491803278688525,L1HS
chr4:21159391-21160291:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.7407407407407407,L1HS
chr4:21159391-21160291:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8666666666666667,L1HS
chr4:21159391-21160291:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.9161764705882353,L1HS
chr4:79937716-79938616:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.646774193548387,L1HS
chr4:79937716-79938616:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.4109195402298851,L1HS
chr4:79937716-79938616:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.6245136186770428,L1HS
chr4:79937716-79938616:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8113522537562604,L1HS
chr4:79937716-79938616:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.8906107566089334,L1HS
chr4:87352246-87353146:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8295880149812734,L1HS
chr4:87352246-87353146:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.7771739130434783,L1HS
chr4:87352246-87353146:MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS10_human_basecalls_5mC_5hmC_hg38.sorted_m,0.8145161290322581,L1HS
chr4:87352246-87353146:MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.9151547491995731,L1HS
chr4:87352246-87353146:MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_org_hiPS10_human_d15_basecalls_5mC_5hmC_hg38.sorted_m,0.9167935058346017,L1HS
chr5:15911650-15912550:MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m,0.4178302900107411,L1HS
chr5:15911650-15912550:MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m,0.36892052194543296,L1HS
