seg_id	seg_chrom	seg_start	seg_end	seg_name	seg_strand	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_readcount
chr11:82155866-82155966	chr11	82155866	82155966	L1HS_dup1239	.	94	16	11	0.8545454545454545	18	13	96	12	0.11926605504587157	18	85	8	5	0.9139784946236559	14	5	88	5	0.053763440860215055	14	197	6	16	0.9704433497536946	32	4	200	15	0.0196078431372549	32
chr1:237075265-237075365	chr1	237075265	237075365	L1HS_dup124	.	140	37	15	0.7909604519774012	29	7	168	17	0.04	29	56	47	8	0.5436893203883495	16	7	95	9	0.06862745098039216	16	214	20	26	0.9145299145299145	38	6	228	26	0.02564102564102564	38
chr11:93136639-93136739	chr11	93136639	93136739	L1HS_dup1246	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr12:44114134-44114234	chr12	44114134	44114234	L1HS_dup1280	.	79	22	15	0.7821782178217822	17	7	92	17	0.0707070707070707	17	103	10	11	0.911504424778761	18	6	107	11	0.05309734513274336	18	306	13	23	0.9592476489028213	50	9	309	24	0.02830188679245283	50
chr12:69779341-69779441	chr12	69779341	69779441	L1HS_dup1295	.	120	40	15	0.75	30	12	144	19	0.07692307692307693	30	124	36	16	0.775	30	18	139	19	0.11464968152866242	30	327	20	24	0.9423631123919308	64	8	341	22	0.022922636103151862	64
chr12:101146044-101146144	chr12	101146044	101146144	L1HS_dup1315	.	26	19	1	0.5777777777777777	13	4	40	2	0.09090909090909091	13	0	0	0	NaN	0	0	0	0	NaN	0	124	12	12	0.9117647058823529	38	7	134	7	0.04964539007092199	38
chr2:4733730-4733830	chr2	4733730	4733830	L1HS_dup133	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr14:44711004-44711104	chr14	44711004	44711104	L1HS_dup1382	.	49	7	4	0.875	12	5	51	4	0.08928571428571429	12	142	14	22	0.9102564102564102	37	10	147	21	0.06369426751592357	37	192	4	16	0.9795918367346939	44	1	196	15	0.005076142131979695	44
chr14:51800532-51800632	chr14	51800532	51800632	L1HS_dup1388	.	122	28	10	0.8133333333333334	24	16	134	10	0.10666666666666667	24	166	40	14	0.8058252427184466	33	22	186	12	0.10576923076923077	33	267	5	23	0.9816176470588235	44	1	270	24	0.0036900369003690036	44
chr15:54931999-54932099	chr15	54931999	54932099	L1HS_dup1421	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr16:35614401-35614501	chr16	35614401	35614501	L1HS_dup1454	.	90	16	8	0.8490566037735849	23	2	103	9	0.01904761904761905	23	65	3	1	0.9558823529411765	14	0	68	1	0.0	14	164	41	29	0.8	50	3	205	26	0.014423076923076924	50
chr16:65690012-65690112	chr16	65690012	65690112	L1HS_dup1469	.	131	19	18	0.8733333333333333	26	13	139	16	0.08552631578947369	26	91	18	5	0.8348623853211009	17	17	92	5	0.1559633027522936	17	292	10	20	0.9668874172185431	47	4	301	17	0.013114754098360656	47
chr16:83637253-83637353	chr16	83637253	83637353	L1HS_dup1473	.	54	11	5	0.8307692307692308	12	8	58	4	0.12121212121212122	12	78	11	1	0.8764044943820225	15	2	87	1	0.02247191011235955	15	102	5	9	0.9532710280373832	22	3	103	10	0.02830188679245283	22
chr17:70550695-70550795	chr17	70550695	70550795	L1HS_dup1491	.	80	7	19	0.9195402298850575	18	5	81	20	0.05813953488372093	18	106	10	9	0.9137931034482759	22	8	108	9	0.06896551724137931	22	213	7	22	0.9681818181818181	43	3	216	23	0.0136986301369863	43
chr18:13981791-13981891	chr18	13981791	13981891	L1HS_dup1501	.	100	9	8	0.9174311926605505	20	5	104	8	0.045871559633027525	20	90	9	5	0.9090909090909091	18	6	93	5	0.06060606060606061	18	266	13	20	0.953405017921147	51	4	277	18	0.014234875444839857	51
chr18:70752481-70752581	chr18	70752481	70752581	L1HS_dup1543	.	85	11	6	0.8854166666666666	15	3	93	6	0.03125	15	125	37	9	0.7716049382716049	25	27	134	10	0.16770186335403728	25	272	12	17	0.9577464788732394	45	3	284	14	0.010452961672473868	45
chr20:11632780-11632880	chr20	11632780	11632880	L1HS_dup1575	.	113	10	6	0.9186991869918699	19	0	122	7	0.0	19	167	10	10	0.943502824858757	27	8	169	10	0.04519774011299435	27	267	11	15	0.960431654676259	43	1	277	15	0.0035971223021582736	43
chr22:15220567-15220667	chr22	15220567	15220667	L1HS_dup1613	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	10	1	2	0.9090909090909091	3	0	12	1	0.0	3
chr2:126183964-126184064	chr2	126183964	126184064	L1HS_dup179	.	37	8	4	0.8222222222222222	11	5	40	4	0.1111111111111111	11	84	11	6	0.8842105263157894	21	10	85	6	0.10526315789473684	21	251	13	20	0.9507575757575758	59	2	266	16	0.007462686567164179	59
chr2:153013696-153013796	chr2	153013696	153013796	L1HS_dup192	.	87	5	3	0.9456521739130435	16	5	87	3	0.05434782608695652	16	105	6	17	0.9459459459459459	22	3	109	16	0.026785714285714284	22	244	8	18	0.9682539682539683	46	3	248	19	0.01195219123505976	46
chr2:160114517-160114617	chr2	160114517	160114617	L1HS_dup198	.	52	3	4	0.9454545454545454	20	0	55	4	0.0	20	51	4	4	0.9272727272727272	20	2	53	4	0.03636363636363636	20	98	6	10	0.9423076923076923	39	2	103	9	0.01904761904761905	39
chr2:175487894-175487994	chr2	175487894	175487994	L1HS_dup205	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr3:54400223-54400323	chr3	54400223	54400323	L1HS_dup235	.	107	23	13	0.823076923076923	24	1	128	14	0.007751937984496124	24	94	4	13	0.9591836734693877	19	0	97	14	0.0	19	282	14	28	0.9527027027027027	56	4	294	26	0.013422818791946308	56
chr3:90334082-90334182	chr3	90334082	90334182	L1HS_dup291	.	167	7	12	0.9597701149425287	27	5	170	11	0.02857142857142857	27	100	2	8	0.9803921568627451	17	2	100	8	0.0196078431372549	17	256	18	35	0.9343065693430657	48	4	272	33	0.014492753623188406	48
chr3:103562469-103562569	chr3	103562469	103562569	L1HS_dup296	.	114	10	10	0.9193548387096774	20	9	115	10	0.07258064516129033	20	75	3	7	0.9615384615384616	13	3	75	7	0.038461538461538464	13	283	6	33	0.9792387543252595	48	3	289	30	0.010273972602739725	48
chr3:108749401-108749501	chr3	108749401	108749501	L1HS_dup304	.	82	17	1	0.8282828282828283	15	6	93	1	0.06060606060606061	15	65	10	10	0.8666666666666667	13	6	69	10	0.08	13	320	22	21	0.935672514619883	55	13	329	21	0.038011695906432746	55
chr3:120573022-120573122	chr3	120573022	120573122	L1HS_dup319	.	189	9	12	0.9545454545454546	35	3	195	12	0.015151515151515152	35	99	3	5	0.9705882352941176	18	3	99	5	0.029411764705882353	18	223	12	26	0.948936170212766	45	4	237	20	0.016597510373443983	45
chr1:85748520-85748620	chr1	85748520	85748620	L1HS_dup34	.	96	13	13	0.8807339449541285	25	6	103	13	0.05504587155963303	25	103	20	5	0.8373983739837398	26	10	112	6	0.08196721311475409	26	243	10	14	0.9604743083003953	55	8	245	14	0.03162055335968379	55
chr3:163236942-163237042	chr3	163236942	163237042	L1HS_dup356	.	114	22	10	0.8382352941176471	22	9	126	11	0.06666666666666667	22	75	14	6	0.8426966292134831	14	7	82	6	0.07865168539325842	14	289	14	20	0.9537953795379538	49	4	299	20	0.013201320132013201	49
chr4:14755115-14755215	chr4	14755115	14755215	L1HS_dup375	.	70	8	9	0.8974358974358975	16	4	74	9	0.05128205128205128	16	61	10	6	0.8591549295774648	13	3	68	6	0.04225352112676056	13	238	8	15	0.967479674796748	45	4	245	12	0.01606425702811245	45
chr4:15841547-15841647	chr4	15841547	15841647	L1HS_dup376	.	114	31	14	0.7862068965517242	23	10	134	15	0.06944444444444445	23	137	11	4	0.9256756756756757	22	5	141	6	0.03424657534246575	22	253	6	38	0.9768339768339769	46	4	256	37	0.015384615384615385	46
chr4:21159391-21159491	chr4	21159391	21159491	L1HS_dup381	.	65	15	6	0.8125	13	4	78	4	0.04878048780487805	13	37	16	9	0.6981132075471698	9	13	39	10	0.25	9	115	3	17	0.9745762711864406	21	3	117	15	0.025	21
chr4:23614772-23614872	chr4	23614772	23614872	L1HS_dup382	.	62	10	7	0.8611111111111112	21	5	67	7	0.06944444444444445	21	74	7	6	0.9135802469135802	22	4	76	7	0.05	22	141	18	18	0.8867924528301887	46	9	149	19	0.056962025316455694	46
chr4:48057874-48057974	chr4	48057874	48057974	L1HS_dup399	.	109	30	12	0.7841726618705036	22	11	129	11	0.07857142857142857	22	56	41	11	0.5773195876288659	16	9	89	10	0.09183673469387756	16	282	19	28	0.9368770764119602	50	12	293	24	0.03934426229508197	50
chr4:61945862-61945962	chr4	61945862	61945962	L1HS_dup419	.	47	9	4	0.8392857142857143	14	2	54	4	0.03571428571428571	14	91	15	12	0.8584905660377359	25	9	98	11	0.08411214953271028	25	203	10	13	0.9530516431924883	50	8	206	12	0.037383177570093455	50
chr4:62732869-62732969	chr4	62732869	62732969	L1HS_dup420	.	57	1	2	0.9827586206896551	13	0	58	2	0.0	13	85	8	9	0.9139784946236559	21	6	87	9	0.06451612903225806	21	197	2	8	0.9899497487437185	42	2	197	8	0.010050251256281407	42
chr4:74723487-74723587	chr4	74723487	74723587	L1HS_dup426	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr4:79937716-79937816	chr4	79937716	79937816	L1HS_dup431	.	89	31	6	0.7416666666666667	19	16	105	5	0.1322314049586777	19	32	32	9	0.5	11	12	54	7	0.18181818181818182	11	208	8	14	0.9629629629629629	33	6	211	13	0.027649769585253458	33
chr4:91437492-91437592	chr4	91437492	91437592	L1HS_dup449	.	83	7	7	0.9222222222222223	20	0	91	6	0.0	20	128	2	9	0.9846153846153847	28	2	129	8	0.015267175572519083	28	230	5	19	0.9787234042553191	53	1	232	21	0.004291845493562232	53
chr4:93614238-93614338	chr4	93614238	93614338	L1HS_dup452	.	103	34	17	0.7518248175182481	27	16	122	16	0.11594202898550725	27	50	4	10	0.9259259259259259	11	1	53	10	0.018518518518518517	11	210	4	12	0.9813084112149533	39	3	212	11	0.013953488372093023	39
chr4:111894802-111894902	chr4	111894802	111894902	L1HS_dup466	.	74	8	8	0.9024390243902439	15	4	80	6	0.047619047619047616	15	60	4	3	0.9375	12	3	61	3	0.046875	12	250	8	32	0.9689922480620154	51	6	257	27	0.022813688212927757	51
chr4:136299446-136299546	chr4	136299446	136299546	L1HS_dup491	.	75	5	4	0.9375	14	3	77	4	0.0375	14	100	5	8	0.9523809523809523	20	4	101	8	0.0380952380952381	20	232	5	25	0.9789029535864979	45	4	233	25	0.016877637130801686	45
chr5:102131357-102131457	chr5	102131357	102131457	L1HS_dup588	.	88	23	5	0.7927927927927928	24	5	105	6	0.045454545454545456	24	88	18	10	0.8301886792452831	24	13	91	12	0.125	24	156	11	11	0.9341317365269461	37	3	163	12	0.018072289156626505	37
chr5:104518588-104518688	chr5	104518588	104518688	L1HS_dup591	.	0	0	0	NaN	0	0	0	0	NaN	0	32	9	7	0.7804878048780488	8	5	36	7	0.12195121951219512	8	0	0	0	NaN	0	0	0	0	NaN	0
chr5:109259388-109259488	chr5	109259388	109259488	L1HS_dup594	.	97	26	8	0.7886178861788617	19	16	107	8	0.13008130081300814	19	0	0	0	NaN	0	0	0	0	NaN	0	318	13	28	0.9607250755287009	52	6	327	26	0.018018018018018018	52
chr5:119599332-119599432	chr5	119599332	119599432	L1HS_dup599	.	45	3	5	0.9375	27	0	49	4	0.0	27	42	2	2	0.9545454545454546	23	0	45	1	0.0	23	55	4	16	0.9322033898305084	38	2	58	15	0.03333333333333333	38
chr5:156067866-156067966	chr5	156067866	156067966	L1HS_dup626	.	100	9	5	0.9174311926605505	20	7	102	5	0.06422018348623854	20	73	10	4	0.8795180722891566	15	5	78	4	0.060240963855421686	15	220	11	25	0.9523809523809523	44	3	231	22	0.01282051282051282	44
chr5:160715539-160715639	chr5	160715539	160715639	L1HS_dup632	.	96	4	5	0.96	18	4	96	5	0.04	18	101	7	10	0.9351851851851852	20	7	101	10	0.06481481481481481	20	273	5	27	0.9820143884892086	53	2	276	27	0.007194244604316547	53
chr5:177772246-177772346	chr5	177772246	177772346	L1HS_dup639	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr6:70010348-70010448	chr6	70010348	70010448	L1HS_dup677	.	93	9	13	0.9117647058823529	17	7	94	14	0.06930693069306931	17	69	6	14	0.92	13	6	69	14	0.08	13	251	3	20	0.9881889763779528	41	2	256	16	0.007751937984496124	41
chr1:146723118-146723218	chr1	146723118	146723218	L1HS_dup70	.	101	35	18	0.7426470588235294	27	13	124	17	0.0948905109489051	27	106	29	15	0.7851851851851852	26	14	122	14	0.10294117647058823	26	238	7	24	0.9714285714285714	46	5	243	21	0.020161290322580645	46
chr6:121162717-121162817	chr6	121162717	121162817	L1HS_dup714	.	114	22	12	0.8382352941176471	30	4	132	12	0.029411764705882353	30	74	18	0	0.8043478260869565	19	16	76	0	0.17391304347826086	19	144	7	4	0.9536423841059603	33	1	150	4	0.006622516556291391	33
chr6:133026646-133026746	chr6	133026646	133026746	L1HS_dup728	.	0	0	0	NaN	0	0	0	0	NaN	0	74	7	1	0.9135802469135802	14	5	76	1	0.06172839506172839	14	0	0	0	NaN	0	0	0	0	NaN	0
chr7:7465093-7465193	chr7	7465093	7465193	L1HS_dup751	.	77	24	8	0.7623762376237624	19	13	87	9	0.13	19	100	13	6	0.8849557522123894	20	5	107	7	0.044642857142857144	20	312	9	13	0.9719626168224299	58	7	316	11	0.021671826625386997	58
chr7:49686200-49686300	chr7	49686200	49686300	L1HS_dup775	.	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0
chr7:91173444-91173544	chr7	91173444	91173544	L1HS_dup800	.	48	9	9	0.8421052631578947	17	4	52	10	0.07142857142857142	17	64	5	3	0.927536231884058	19	4	65	3	0.057971014492753624	19	144	4	20	0.972972972972973	43	3	147	18	0.02	43
chr1:166248984-166249084	chr1	166248984	166249084	L1HS_dup81	.	87	11	3	0.8877551020408163	17	6	93	2	0.06060606060606061	17	111	24	10	0.8222222222222222	25	15	120	10	0.1111111111111111	25	257	19	22	0.9311594202898551	53	2	274	22	0.007246376811594203	53
chr7:110712924-110713024	chr7	110712924	110713024	L1HS_dup810	.	97	14	7	0.8738738738738738	17	1	110	7	0.009009009009009009	17	102	9	10	0.918918918918919	18	3	108	10	0.02702702702702703	18	271	13	23	0.954225352112676	45	6	279	22	0.021052631578947368	45
chr7:141926612-141926712	chr7	141926612	141926712	L1HS_dup831	.	102	26	6	0.796875	23	8	120	6	0.0625	23	148	20	15	0.8809523809523809	32	12	158	13	0.07058823529411765	32	190	3	17	0.9844559585492227	36	3	191	16	0.015463917525773196	36
chr8:27113619-27113719	chr8	27113619	27113719	L1HS_dup851	.	124	11	15	0.9185185185185185	26	4	131	15	0.02962962962962963	26	106	13	6	0.8907563025210085	20	3	116	6	0.025210084033613446	20	341	15	30	0.9578651685393258	68	5	356	25	0.013850415512465374	68
chr8:75627255-75627355	chr8	75627255	75627355	L1HS_dup873	.	81	3	10	0.9642857142857143	16	0	86	8	0.0	16	97	6	7	0.941747572815534	19	2	101	7	0.019417475728155338	19	231	3	17	0.9871794871794872	44	1	233	17	0.004273504273504274	44
chr1:184845617-184845717	chr1	184845617	184845717	L1HS_dup88	.	0	0	0	NaN	0	0	0	0	NaN	0	44	10	5	0.8148148148148148	9	4	50	5	0.07407407407407407	9	0	0	0	NaN	0	0	0	0	NaN	0
chr8:128458920-128459020	chr8	128458920	128459020	L1HS_dup900	.	0	0	0	NaN	0	0	0	0	NaN	0	4	0	1	1.0	1	0	4	1	0.0	1	0	0	0	NaN	0	0	0	0	NaN	0
chr8:134076673-134076773	chr8	134076673	134076773	L1HS_dup904	.	0	0	0	NaN	0	0	0	0	NaN	0	86	19	9	0.819047619047619	19	8	98	8	0.07547169811320754	19	0	0	0	NaN	0	0	0	0	NaN	0
chr9:90149605-90149705	chr9	90149605	90149705	L1HS_dup947	.	79	8	6	0.9080459770114943	16	3	84	6	0.034482758620689655	16	82	21	13	0.7961165048543689	17	17	86	13	0.1650485436893204	17	268	10	14	0.9640287769784173	50	4	275	13	0.014336917562724014	50
chr9:95697586-95697686	chr9	95697586	95697686	L1HS_dup949	.	98	22	19	0.8166666666666667	20	10	110	19	0.08333333333333333	20	78	22	9	0.78	17	15	85	9	0.15	17	423	32	38	0.9296703296703297	76	10	450	33	0.021739130434782608	76
